,Pays,Url,Drapeaux,Capitale,Langues,Population (hab),Superficie (km2)
71,Grèce,/wiki/Gr%C3%A8ce,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/20px-Flag_of_Greece.svg.png,Athènes,Grec,10 432 481,131 957
72,Grenade,/wiki/Grenade_(pays),//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Grenada.svg/20px-Flag_of_Grenada.svg.png,Saint-Georges,Anglais,113 094,344
73,Guatemala,/wiki/Guatemala,//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/20px-Flag_of_Guatemala.svg.png,Guatemala,Espagnol,17 153 288,108 890
74,Guinée,/wiki/Guin%C3%A9e,//upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/20px-Flag_of_Guinea.svg.png,Conakry,Français,13 885 724,245 857
75,Guinée-Bissau,/wiki/Guin%C3%A9e-Bissau,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Guinea-Bissau.svg/20px-Flag_of_Guinea-Bissau.svg.png,Bissau,Portugais,1 833 247,36 120
76,Guinée équatoriale,/wiki/Guin%C3%A9e_%C3%A9quatoriale,//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/20px-Flag_of_Equatorial_Guinea.svg.png,Malabo,Espagnol,1 403 000,28 051
77,Guyana,/wiki/Guyana,//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/20px-Flag_of_Guyana.svg.png,Georgetown,Anglais,750 204,214 970
78,Haïti,/wiki/Ha%C3%AFti,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/20px-Flag_of_Haiti.svg.png,Port-au-Prince,Créole haïtien,11 067 777,27 750
79,Honduras,/wiki/Honduras,//upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Honduras.svg/20px-Flag_of_Honduras.svg.png,Tegucigalpa,Espagnol,9 182 766,112 090
80,Hongrie,/wiki/Hongrie,//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/20px-Flag_of_Hungary.svg.png,Budapest,Hongrois,9 771 827,93 028
81,Inde,/wiki/Inde,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/20px-Flag_of_India.svg.png,New Delhi,Hindi,1 326 093 247,3 287 263
82,Indonésie,/wiki/Indon%C3%A9sie,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/20px-Flag_of_Indonesia.svg.png,Jakarta,Indonésien,270 203 917,1 904 569
83,Irak,/wiki/Irak,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/20px-Flag_of_Iraq.svg.png,Bagdad,Arabe,38 872 655,435 052
84,Iran,/wiki/Iran,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/20px-Flag_of_Iran.svg.png,Téhéran,Persan,84 923 314,1 648 195
85,Irlande,/wiki/Irlande_(pays),//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/20px-Flag_of_Ireland.svg.png,Dublin,,5 011 500,70 273
86,Islande,/wiki/Islande,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/20px-Flag_of_Iceland.svg.png,Reykjavik,Islandais,376 248,102 775
87,Israël,/wiki/Isra%C3%ABl,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/20px-Flag_of_Israel.svg.png,Jérusalem,Hébreu,9 585 00,20 77
88,Italie,/wiki/Italie,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/20px-Flag_of_Italy.svg.png,Rome,Italien,60 359 546,301 336
89,Jamaïque,/wiki/Jama%C3%AFque,//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/20px-Flag_of_Jamaica.svg.png,Kingston,Anglais,2 808 570,11 425
90,Japon,/wiki/Japon,//upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/20px-Flag_of_Japan.svg.png,Tokyo,Japonais,125 104 000,377 975
91,Jordanie,/wiki/Jordanie,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/20px-Flag_of_Jordan.svg.png,Amman,Arabe,10 820 644,89 342
92,Kazakhstan,/wiki/Kazakhstan,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/20px-Flag_of_Kazakhstan.svg.png,Astana,Kazakh,19 245 793,2 724 900
93,Kenya,/wiki/Kenya,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/20px-Flag_of_Kenya.svg.png,Nairobi,Swahili,47 564 29,580 367
94,Kirghizie,/wiki/Kirghizie,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/20px-Flag_of_Kyrgyzstan.svg.png,Bichkek,Kirghize,6 018 789,198 500
95,Kiribati,/wiki/Kiribati,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/20px-Flag_of_Kiribati.svg.png,Tarawa-Sud,Gilbertin,121 000,
96,Koweït,/wiki/Kowe%C3%AFt,//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/20px-Flag_of_Kuwait.svg.png,Ville de Koweït,Arabe,2 993 706,17 818
97,Laos,/wiki/Laos,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Laos.svg/20px-Flag_of_Laos.svg.png,Vientiane,Lao,7 447 396,237 955
98,Lesotho,/wiki/Lesotho,//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/20px-Flag_of_Lesotho.svg.png,Maseru,sotho du Sud,1 969 334,30 355
99,Lettonie,/wiki/Lettonie,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/20px-Flag_of_Latvia.svg.png,Riga,Letton,1 907 675,64 559
100,Liban,/wiki/Liban,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/20px-Flag_of_Lebanon.svg.png,Beyrouth,Arabe,5 261 37,10 452
